35,Brett Ratner,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: The Last Stand ,6.8
36,Dan Scanlon,Adventure|Animation|Comedy|Family|Fantasy,Monsters University ,7.3
37,Michael Bay,Action|Adventure|Sci-Fi,Transformers: Revenge of the Fallen ,6
38,Michael Bay,Action|Adventure|Sci-Fi,Transformers: Age of Extinction ,5.7
39,Sam Raimi,Adventure|Family|Fantasy,Oz the Great and Powerful ,6.4
40,Marc Webb,Action|Adventure|Fantasy|Sci-Fi,The Amazing Spider-Man 2 ,6.7
41,Joseph Kosinski,Action|Adventure|Sci-Fi,TRON: Legacy ,6.8
42,John Lasseter,Adventure|Animation|Comedy|Family|Sport,Cars 2 ,6.3
43,Martin Campbell,Action|Adventure|Sci-Fi,Green Lantern ,5.6
44,Lee Unkrich,Adventure|Animation|Comedy|Family|Fantasy,Toy Story 3 ,8.3
45,McG,Action|Adventure|Sci-Fi,Terminator Salvation ,6.6
46,James Wan,Action|Crime|Thriller,Furious 7 ,7.2
47,Marc Forster,Action|Adventure|Horror|Sci-Fi|Thriller,World War Z ,7
48,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men: Days of Future Past ,8
49,J.J. Abrams,Action|Adventure|Sci-Fi,Star Trek Into Darkness ,7.8
50,Bryan Singer,Adventure|Fantasy,Jack the Giant Slayer ,6.3
51,Baz Luhrmann,Drama|Romance,The Great Gatsby ,7.3
52,Mike Newell,Action|Adventure|Fantasy|Romance,Prince of Persia: The Sands of Time ,6.6
53,Guillermo del Toro,Action|Adventure|Sci-Fi,Pacific Rim ,7
54,Michael Bay,Action|Adventure|Sci-Fi,Transformers: Dark of the Moon ,6.3
55,Steven Spielberg,Action|Adventure|Fantasy,Indiana Jones and the Kingdom of the Crystal Skull ,6.2
56,Peter Sohn,Adventure|Animation|Comedy|Family|Fantasy,The Good Dinosaur ,6.8
57,Mark Andrews,Adventure|Animation|Comedy|Family|Fantasy,Brave ,7.2
58,Justin Lin,Action|Adventure|Sci-Fi|Thriller,Star Trek Beyond ,7.5
59,Andrew Stanton,Adventure|Animation|Family|Sci-Fi,WALL·E ,8.4
60,Brett Ratner,Action|Comedy|Crime|Thriller,Rush Hour 3 ,6.2
61,Roland Emmerich,Action|Adventure|Sci-Fi,2012,5.8
62,Robert Zemeckis,Animation|Drama|Family|Fantasy,A Christmas Carol ,6.8
63,Lana Wachowski,Action|Adventure|Sci-Fi,Jupiter Ascending ,5.4
64,David Yates,Action|Adventure|Drama|Romance,The Legend of Tarzan ,6.6
65,Andrew Adamson,Adventure|Family|Fantasy,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ",6.9
66,Bryan Singer,Action|Adventure|Sci-Fi,X-Men: Apocalypse ,7.3
67,Christopher Nolan,Action|Crime|Drama|Thriller,The Dark Knight ,9
68,Pete Docter,Adventure|Animation|Comedy|Family,Up ,8.3
69,Rob Letterman,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Monsters vs. Aliens ,6.5
70,Jon Favreau,Action|Adventure|Sci-Fi,Iron Man ,7.9
71,Martin Scorsese,Adventure|Drama|Family|Mystery,Hugo ,7.5
72,Barry Sonnenfeld,Action|Comedy|Sci-Fi|Western,Wild Wild West ,4.8
73,Rob Cohen,Action|Adventure|Fantasy|Horror|Thriller,The Mummy: Tomb of the Dragon Emperor ,5.2
74,David Ayer,Action|Adventure|Comedy|Sci-Fi,Suicide Squad ,6.9
75,Tom Shadyac,Comedy|Family|Fantasy,Evan Almighty ,5.4
76,Doug Liman,Action|Adventure|Sci-Fi,Edge of Tomorrow ,7.9
77,Kevin Reynolds,Action|Adventure|Sci-Fi|Thriller,Waterworld ,6.1
78,Stephen Sommers,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: The Rise of Cobra ,5.8
79,Pete Docter,Adventure|Animation|Comedy|Drama|Family|Fantasy,Inside Out ,8.3
80,Jon Favreau,Adventure|Drama|Family|Fantasy,The Jungle Book ,7.8
81,Jon Favreau,Action|Adventure|Sci-Fi,Iron Man 2 ,7
82,Rupert Sanders,Action|Adventure|Drama|Fantasy,Snow White and the Huntsman ,6.1
83,Robert Stromberg,Action|Adventure|Family|Fantasy|Romance,Maleficent ,7
84,Matt Reeves,Action|Adventure|Drama|Sci-Fi,Dawn of the Planet of the Apes ,7.6
85,Roland Joffé,Action|Adventure|Romance|Sci-Fi,The Lovers ,4.5
86,Carl Rinsch,Action|Adventure|Drama|Fantasy,47 Ronin ,6.3
87,Anthony Russo,Action|Adventure|Sci-Fi,Captain America: The Winter Soldier ,7.8
88,Mike Mitchell,Adventure|Animation|Comedy|Family|Fantasy,Shrek Forever After ,6.4
89,Brad Bird,Action|Adventure|Family|Mystery|Sci-Fi,Tomorrowland ,6.5
90,Don Hall,Action|Adventure|Animation|Comedy|Drama|Family|Sci-Fi,Big Hero 6 ,7.9
91,Rich Moore,Adventure|Animation|Comedy|Family|Sci-Fi,Wreck-It Ralph ,7.8
92,Robert Zemeckis,Adventure|Animation|Family|Fantasy,The Polar Express ,6.6
93,Roland Emmerich,Action|Adventure|Sci-Fi,Independence Day: Resurgence ,5.5
94,Dean DeBlois,Adventure|Animation|Family|Fantasy,How to Train Your Dragon ,8.2
95,Jonathan Mostow,Action|Sci-Fi,Terminator 3: Rise of the Machines ,6.4
96,James Gunn,Action|Adventure|Sci-Fi,Guardians of the Galaxy ,8.1
97,Christopher Nolan,Adventure|Drama|Sci-Fi,Interstellar ,8.6
98,Christopher Nolan,Action|Adventure|Sci-Fi|Thriller,Inception ,8.8
99,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence ,8.2
100,Peter Jackson,Adventure|Fantasy,The Hobbit: An Unexpected Journey ,7.9
101,Rob Cohen,Action|Crime|Thriller,The Fast and the Furious ,6.7
102,David Fincher,Drama|Fantasy|Romance,The Curious Case of Benjamin Button ,7.8
103,Matthew Vaughn,Action|Adventure|Sci-Fi,X-Men: First Class ,7.8
104,Francis Lawrence,Adventure|Sci-Fi,The Hunger Games: Mockingjay - Part 2 ,6.6
105,Jon Turteltaub,Action|Adventure|Family|Fantasy,The Sorcerer's Apprentice ,6.1
106,Wolfgang Petersen,Action|Adventure|Drama|Thriller,Poseidon ,5.6
107,James Bobin,Adventure|Family|Fantasy,Alice Through the Looking Glass ,6.4
108,Chris Miller,Adventure|Animation|Comedy|Family|Fantasy,Shrek the Third ,6.1
109,Duncan Jones,Action|Adventure|Fantasy,Warcraft ,7.3
110,Alan Taylor,Action|Adventure|Sci-Fi,Terminator Genisys ,6.6
111,Michael Apted,Adventure|Family|Fantasy,The Chronicles of Narnia: The Voyage of the Dawn Treader ,6.3
112,Michael Bay,Action|Drama|History|Romance|War,Pearl Harbor ,6.1
113,Michael Bay,Action|Adventure|Sci-Fi,Transformers ,7.1
114,Oliver Stone,Action|Adventure|Biography|Drama|History|Romance|War,Alexander ,5.5
115,David Yates,Adventure|Family|Fantasy|Mystery,Harry Potter and the Order of the Phoenix ,7.5
116,Mike Newell,Adventure|Family|Fantasy|Mystery,Harry Potter and the Goblet of Fire ,7.6
117,Peter Berg,Action|Drama,Hancock ,6.4
118,Francis Lawrence,Drama|Horror|Sci-Fi,I Am Legend ,7.2
119,Tim Burton,Adventure|Comedy|Family|Fantasy,Charlie and the Chocolate Factory ,6.7
120,Brad Bird,Animation|Comedy|Family|Fantasy,Ratatouille ,8
121,Christopher Nolan,Action|Adventure,Batman Begins ,8.3
122,Eric Darnell,Action|Adventure|Animation|Comedy|Family,Madagascar: Escape 2 Africa ,6.7
123,Shawn Levy,Adventure|Comedy|Family|Fantasy,Night at the Museum: Battle of the Smithsonian ,5.9
124,Gavin Hood,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men Origins: Wolverine ,6.7
125,Lana Wachowski,Action|Sci-Fi,The Matrix Revolutions ,6.7
126,Chris Buck,Adventure|Animation|Comedy|Family|Fantasy|Musical,Frozen ,7.6
127,Lana Wachowski,Action|Sci-Fi,The Matrix Reloaded ,7.2
128,Alan Taylor,Action|Adventure|Fantasy,Thor: The Dark World ,7.1
129,George Miller,Action|Adventure|Sci-Fi|Thriller,Mad Max: Fury Road ,8.1
130,Ron Howard,Mystery|Thriller,Angels & Demons ,6.7
131,Kenneth Branagh,Action|Adventure|Fantasy,Thor ,7
132,Byron Howard,Adventure|Animation|Comedy|Drama|Family,Bolt ,6.9
133,Hoyt Yeatman,Action|Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,G-Force ,5.1
134,Jonathan Liebesman,Action|Adventure|Fantasy,Wrath of the Titans ,5.8
135,Tim Burton,Comedy|Fantasy|Horror,Dark Shadows ,6.2
136,Christopher McQuarrie,Action|Adventure|Thriller,Mission: Impossible - Rogue Nation ,7.4
137,Joe Johnston,Drama|Fantasy|Horror|Thriller,The Wolfman ,5.8
138,David Yates,Action|Adventure|Drama|Romance,The Legend of Tarzan ,6.6
139,Steve Hickner,Adventure|Animation|Comedy|Family,Bee Movie ,6.2
140,Jennifer Yuh Nelson,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 2 ,7.3
141,M. Night Shyamalan,Action|Adventure|Family|Fantasy,The Last Airbender ,4.2
142,J.J. Abrams,Action|Adventure|Thriller,Mission: Impossible III ,6.9
143,Roland Emmerich,Action|Drama|Thriller,White House Down ,6.4
144,Simon Wells,Action|Adventure|Animation|Comedy|Family|Sci-Fi,Mars Needs Moms ,5.4
145,David Bowers,Adventure|Animation|Comedy|Family,Flushed Away ,6.7
146,Joe Wright,Adventure|Family|Fantasy,Pan ,5.8
147,Rob Minkoff,Adventure|Animation|Comedy|Family|Sci-Fi,Mr. Peabody & Sherman ,6.9
148,Wolfgang Petersen,Adventure,Troy ,7.2
149,Eric Darnell,Adventure|Animation|Comedy|Family,Madagascar 3: Europe's Most Wanted ,6.9
150,Lee Tamahori,Action|Adventure|Thriller,Die Another Day ,6.1
151,Paul Feig,Action|Comedy|Fantasy|Sci-Fi,Ghostbusters ,5.5
152,Michael Bay,Action|Adventure|Sci-Fi|Thriller,Armageddon ,6.6
153,Barry Sonnenfeld,Action|Adventure|Comedy|Family|Fantasy|Mystery|Sci-Fi,Men in Black II ,6.1
154,Robert Zemeckis,Action|Adventure|Animation|Fantasy,Beowulf ,6.3
155,Alessandro Carloni,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda 3 ,7.2
156,Brad Bird,Action|Adventure|Thriller,Mission: Impossible - Ghost Protocol ,7.4
157,Peter Ramsey,Adventure|Animation|Family|Fantasy,Rise of the Guardians ,7.3
158,Dean Parisot,Comedy|Crime,Fun with Dick and Jane ,6.1
159,Edward Zwick,Action|Drama|History|War,The Last Samurai ,7.7
160,Ridley Scott,Action|Adventure|Drama,Exodus: Gods and Kings ,6.1
161,J.J. Abrams,Action|Adventure|Sci-Fi,Star Trek ,8
162,Sam Raimi,Action|Adventure|Fantasy|Romance,Spider-Man ,7.3
163,Dean DeBlois,Action|Adventure|Animation|Comedy|Family|Fantasy,How to Train Your Dragon 2 ,7.9
164,Alex Proyas,Action|Adventure|Fantasy,Gods of Egypt ,5.5
165,Rob Cohen,Action|Adventure|Sci-Fi|Thriller,Stealth ,5
166,Zack Snyder,Action|Drama|Mystery|Sci-Fi,Watchmen ,7.7
167,Richard Donner,Action|Crime|Thriller,Lethal Weapon 4 ,6.6
168,Ang Lee,Action|Sci-Fi,Hulk ,5.7
169,Jon M. Chu,Action|Adventure|Sci-Fi|Thriller,G.I. Joe: Retaliation ,5.8
170,Breck Eisner,Action|Adventure|Comedy|Thriller,Sahara ,6
171,Hironobu Sakaguchi,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Final Fantasy: The Spirits Within ,6.4
172,Joe Johnston,Action|Adventure|Sci-Fi,Captain America: The First Avenger ,6.9
173,Michael Apted,Action|Adventure|Thriller,The World Is Not Enough ,6.4
174,Peter Weir,Action|Adventure|Drama|History|War,Master and Commander: The Far Side of the World ,7.4
175,Bill Condon,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
176,George Miller,Animation|Comedy|Family|Musical,Happy Feet 2 ,5.9
177,Louis Leterrier,Action|Adventure|Sci-Fi,The Incredible Hulk ,6.8
178,,Action|Crime|Drama|Mystery|Thriller,Miami Vice             ,7.5
179,Steven Spielberg,Adventure|Family|Fantasy,The BFG ,6.8
180,Alejandro G. Iñárritu,Adventure|Drama|Thriller|Western,The Revenant ,8.1
181,David Soren,Adventure|Animation|Comedy|Family|Sport,Turbo ,6.5
182,Gore Verbinski,Adventure|Animation|Comedy|Family|Western,Rango ,7.2
183,Eric Darnell,Adventure|Animation|Comedy|Family,Penguins of Madagascar ,6.7
184,Paul Greengrass,Action|Mystery|Thriller,The Bourne Ultimatum ,8.1
185,Mark Osborne,Action|Adventure|Animation|Comedy|Family,Kung Fu Panda ,7.6
186,Peyton Reed,Action|Adventure|Comedy|Sci-Fi,Ant-Man ,7.4
187,Francis Lawrence,Adventure|Sci-Fi|Thriller,The Hunger Games: Catching Fire ,7.6
188,Bill Condon,Adventure|Drama|Fantasy|Romance,The Twilight Saga: Breaking Dawn - Part 2 ,5.5
189,Tim Johnson,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Home ,6.7
190,Steven Spielberg,Adventure|Sci-Fi|Thriller,War of the Worlds ,6.5
191,Michael Bay,Action|Comedy|Crime|Thriller,Bad Boys II ,6.6
192,Chris Miller,Action|Adventure|Animation|Comedy|Family|Fantasy,Puss in Boots ,6.7
193,Phillip Noyce,Action|Crime|Mystery|Thriller,Salt ,6.4
194,Darren Aronofsky,Action|Adventure|Drama,Noah ,5.8
195,Steven Spielberg,Action|Adventure|Family|Mystery,The Adventures of Tintin ,7.4
196,Alfonso Cuarón,Adventure|Family|Fantasy|Mystery,Harry Potter and the Prisoner of Azkaban ,7.8
197,Baz Luhrmann,Adventure|Drama|Romance|War,Australia ,6.6
198,M. Night Shyamalan,Action|Adventure|Sci-Fi,After Earth ,4.9
199,Eric Leighton,Adventure|Animation|Family|Thriller,Dinosaur ,6.5
200,Matt Birch,Action|Fantasy,Harry Potter and the Deathly Hallows: Part II ,7.5
201,Shawn Levy,Adventure|Comedy|Family|Fantasy,Night at the Museum: Secret of the Tomb ,6.2
202,Tom McGrath,Action|Animation|Comedy|Family|Sci-Fi,Megamind ,7.3
203,Chris Columbus,Adventure|Family|Fantasy,Harry Potter and the Sorcerer's Stone ,7.5
204,Robert Schwentke,Action|Comedy|Fantasy,R.I.P.D. ,5.6
205,Hideaki Anno,Action|Adventure|Drama|Horror|Sci-Fi,Godzilla Resurgence ,8.2
206,Gore Verbinski,Action|Adventure|Fantasy,Pirates of the Caribbean: The Curse of the Black Pearl ,8.1
207,Matt Birch,Fantasy,Harry Potter and the Deathly Hallows: Part I ,6.4
208,Francis Lawrence,Adventure|Sci-Fi|Thriller,The Hunger Games: Mockingjay - Part 1 ,6.7
209,Ron Howard,Mystery|Thriller,The Da Vinci Code ,6.6
210,Carlos Saldanha,Adventure|Animation|Comedy|Family|Musical,Rio 2 ,6.4
211,Bryan Singer,Action|Adventure|Fantasy|Sci-Fi|Thriller,X-Men 2 ,7.5
212,Justin Lin,Action|Crime|Thriller,Fast Five ,7.3
213,Guy Ritchie,Action|Adventure|Crime|Mystery|Thriller,Sherlock Holmes: A Game of Shadows ,7.5
214,Louis Leterrier,Action|Adventure|Fantasy,Clash of the Titans ,5.8
215,Paul Verhoeven,Action|Sci-Fi,Total Recall ,7.5
216,John McTiernan,Action|Adventure|History,The 13th Warrior ,6.6
217,Tony Gilroy,Action|Adventure|Thriller,The Bourne Legacy ,6.7
218,Joel Schumacher,Action,Batman & Robin ,3.7
219,Ron Howard,Comedy|Family|Fantasy,How the Grinch Stole Christmas ,6
220,Roland Emmerich,Action|Adventure|Sci-Fi|Thriller,The Day After Tomorrow ,6.4
221,John Woo,Action|Adventure|Thriller,Mission: Impossible II ,6.1
222,Wolfgang Petersen,Action|Adventure|Drama|Thriller,The Perfect Storm ,6.4
223,Tim Story,Action|Adventure|Sci-Fi|Thriller,Fantastic 4: Rise of the Silver Surfer ,5.6
224,Ang Lee,Adventure|Drama|Fantasy,Life of Pi ,8
225,Mark Steven Johnson,Action|Fantasy|Thriller,Ghost Rider ,5.2
226,Paul Greengrass,Action|Thriller,Jason Bourne ,7.1
227,McG,Action|Adventure|Comedy|Crime,Charlie's Angels: Full Throttle ,4.8
228,Ridley Scott,Adventure|Mystery|Sci-Fi,Prometheus ,7
229,Rob Minkoff,Adventure|Animation|Comedy|Family|Fantasy,Stuart Little 2 ,5.4
230,Neill Blomkamp,Action|Drama|Sci-Fi|Thriller,Elysium ,6.6
231,David Twohy,Action|Adventure|Sci-Fi|Thriller,The Chronicles of Riddick ,6.7
232,José Padilha,Action|Crime|Sci-Fi|Thriller,RoboCop ,6.2
233,Lana Wachowski,Action|Family|Sport,Speed Racer ,6.1
234,James L. Brooks,Comedy|Drama|Romance,How Do You Know ,5.3
235,James Mangold,Action|Comedy|Romance,Knight and Day ,6.3
236,Joseph Kosinski,Action|Adventure|Mystery|Sci-Fi,Oblivion ,7
237,George Lucas,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode III - Revenge of the Sith ,7.6
238,George Lucas,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode II - Attack of the Clones ,6.7
239,Pete Docter,Adventure|Animation|Comedy|Family|Fantasy,"Monsters, Inc. ",8.1
240,James Mangold,Action|Adventure|Sci-Fi|Thriller,The Wolverine ,6.7
241,George Lucas,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode I - The Phantom Menace ,6.5
242,Kirk De Micco,Adventure|Animation|Comedy|Family|Fantasy,The Croods ,7.3
243,Frédéric Forestier,Adventure|Comedy|Family|Fantasy,Asterix at the Olympic Games ,5.1
244,John Woo,Action|Drama|War,Windtalkers ,6
245,Cedric Nicolas-Troyan,Action|Adventure|Drama|Fantasy,The Huntsman: Winter's War ,6.1
246,Jonathan Liebesman,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles ,5.9
247,Alfonso Cuarón,Adventure|Drama|Sci-Fi|Thriller,Gravity ,7.8
248,Roger Donaldson,Action|Adventure|Thriller,Dante's Peak ,5.8
249,Dave Green,Action|Adventure|Comedy|Sci-Fi,Teenage Mutant Ninja Turtles: Out of the Shadows ,6.3
250,Josh Trank,Action|Adventure|Sci-Fi,Fantastic Four ,4.3
251,Shawn Levy,Action|Adventure|Comedy|Family|Fantasy,Night at the Museum ,6.4
252,Brad Peyton,Action|Adventure|Drama|Thriller,San Andreas ,6.1
253,Roger Spottiswoode,Action|Adventure|Thriller,Tomorrow Never Dies ,6.5
254,Roland Emmerich,Action|Drama|History|War,The Patriot ,7.1
255,Steven Soderbergh,Crime|Thriller,Ocean's Twelve ,6.4
256,Doug Liman,Action|Comedy|Crime|Romance|Thriller,Mr. & Mrs. Smith ,6.5
257,Robert Schwentke,Adventure|Sci-Fi|Thriller,Insurgent ,6.3
258,Martin Scorsese,Biography|Drama,The Aviator ,7.5
259,Rob Letterman,Adventure|Comedy|Family|Fantasy,Gulliver's Travels ,4.9
260,Michel Gondry,Action|Comedy|Crime|Sci-Fi|Thriller,The Green Hornet ,5.8
261,,Action|Adventure|Crime,The A-Team             ,7.6
262,Noam Murro,Action|Drama|Fantasy|War,300: Rise of an Empire ,6.2
263,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs ,5.5
264,Will Finn,Animation|Comedy|Family|Music|Western,Home on the Range ,5.4
265,Robert Schwentke,Action|Adventure|Mystery|Sci-Fi|Thriller,Allegiant ,5.8
266,Shawn Levy,Action|Drama|Sci-Fi|Sport,Real Steel ,7.1
267,Raja Gosnell,Adventure|Animation|Comedy|Family|Fantasy,The Smurfs 2 ,5.4
268,Jan de Bont,Action|Crime|Romance|Thriller,Speed 2: Cruise Control ,3.7
269,Gavin Hood,Action|Sci-Fi,Ender's Game ,6.7
270,Len Wiseman,Action|Adventure|Thriller,Live Free or Die Hard ,7.2
271,Peter Jackson,Action|Adventure|Drama|Fantasy,The Lord of the Rings: The Fellowship of the Ring ,8.8
272,Frank Coraci,Action|Adventure|Comedy,Around the World in 80 Days ,5.8
273,Michael Mann,Biography|Drama|Sport,Ali ,6.8
274,Bo Welch,Adventure|Comedy|Family|Fantasy,The Cat in the Hat ,3.8
275,Alex Proyas,Action|Mystery|Sci-Fi|Thriller,"I, Robot ",7.1
276,Ridley Scott,Action|Adventure|Drama|History|War,Kingdom of Heaven ,7.2
277,Rob Minkoff,Adventure|Comedy|Family|Fantasy,Stuart Little ,5.9
278,Ron Clements,Animation|Family|Fantasy|Musical|Romance,The Princess and the Frog ,7.1
279,Ridley Scott,Adventure|Drama|Sci-Fi,The Martian ,8.1
280,Christopher Barnard,Comedy,"10,000 B.C.             ",7.2
281,Michael Bay,Action|Adventure|Romance|Sci-Fi|Thriller,The Island ,6.9
282,Peter Chelsom,Comedy|Romance,Town & Country ,4.4
283,Dominic Sena,Action|Crime|Thriller,Gone in Sixty Seconds ,6.5
284,Ridley Scott,Action|Drama|Romance,Gladiator ,8.5
285,Steven Spielberg,Action|Mystery|Sci-Fi|Thriller,Minority Report ,7.7
286,Chris Columbus,Adventure|Family|Fantasy|Mystery,Harry Potter and the Chamber of Secrets ,7.4
287,Martin Campbell,Action|Adventure|Thriller,Casino Royale ,8
288,Tim Burton,Action|Adventure|Sci-Fi|Thriller,Planet of the Apes ,5.7
289,James Cameron,Action|Sci-Fi,Terminator 2: Judgment Day ,8.5
290,Michael Mann,Biography|Crime|Drama|History|Romance,Public Enemies ,7
291,Ridley Scott,Biography|Crime|Drama,American Gangster ,7.8
292,James Cameron,Action|Comedy|Thriller,True Lies ,7.2
293,Tony Scott,Action|Crime|Thriller,The Taking of Pelham 1 2 3 ,6.4
294,Paul Weitz,Comedy|Romance,Little Fockers ,5.5
295,Adam McKay,Action|Comedy|Crime,The Other Guys ,6.7
296,Chuck Russell,Action|Drama|Mystery|Thriller,Eraser ,6.1
297,Quentin Tarantino,Drama|Western,Django Unchained ,8.5
298,Gary Trousdale,Animation|Drama|Family|Musical|Romance,The Hunchback of Notre Dame ,6.9
299,Mark Dindal,Adventure|Animation|Comedy|Family|Fantasy,The Emperor's New Groove ,7.3
300,Simon West,Action|Adventure|Thriller,The Expendables 2 ,6.7
301,Jon Turteltaub,Action|Adventure|Comedy|Family|Mystery,National Treasure ,6.9
302,Stefen Fangmeier,Action|Adventure|Family|Fantasy,Eragon ,5.1
303,Spike Jonze,Adventure|Drama|Family|Fantasy,Where the Wild Things Are ,6.8
304,Joe Wright,Adventure|Family|Fantasy,Pan ,5.8
305,Chris Wedge,Adventure|Animation|Family|Fantasy,Epic ,6.7
306,Florian Henckel von Donnersmarck,Action|Romance|Thriller,The Tourist ,6
307,Peter Hyams,Action|Fantasy|Horror|Mystery,End of Days ,5.7
308,Edward Zwick,Adventure|Drama|Thriller,Blood Diamond ,8
309,Martin Scorsese,Biography|Comedy|Crime|Drama,The Wolf of Wall Street ,8.2
310,Joel Schumacher,Action|Adventure|Fantasy,Batman Forever ,5.4
311,Paul Verhoeven,Action|Sci-Fi|War,Starship Troopers ,7.2
312,Tom Tykwer,Drama|Sci-Fi,Cloud Atlas ,7.5
313,Zack Snyder,Action|Adventure|Animation|Family|Fantasy,Legend of the Guardians: The Owls of Ga'Hoole ,7
314,Pitof,Action|Crime|Fantasy|Romance|Thriller,Catwoman ,3.3
315,Brett Ratner,Action|Adventure,Hercules ,6
316,Ron Clements,Adventure|Animation|Family|Sci-Fi,Treasure Planet ,7.1
317,Brad Silberling,Adventure|Comedy|Sci-Fi,Land of the Lost ,5.4
318,Patrick Hughes,Action|Adventure|Thriller,The Expendables 3 ,6.1
319,Ericson Core,Action|Crime|Sport|Thriller,Point Break ,5.3
320,Lawrence Guterman,Comedy|Family|Fantasy,Son of the Mask ,2.2
321,Ron Howard,Action|Adventure|Biography|Drama|History|Thriller,In the Heart of the Sea ,7
322,Ron Underwood,Action|Comedy|Sci-Fi,The Adventures of Pluto Nash ,3.8
323,Paul Greengrass,Action|Drama|Thriller|War,Green Zone ,6.9
324,Steve Martino,Adventure|Animation|Comedy|Family,The Peanuts Movie ,7.2
325,David Mamet,Drama|Mystery|Thriller,The Spanish Prisoner ,7.3
326,Stephen Sommers,Action|Adventure|Fantasy|Thriller,The Mummy Returns ,6.3
327,Martin Scorsese,Crime|Drama,Gangs of New York ,7.5
328,Yimou Zhang,Drama|History|Romance|War,The Flowers of War ,7.6
329,Ash Brannon,Animation|Comedy|Family|Sport,Surf's Up ,6.8
330,Frank Oz,Comedy|Sci-Fi|Thriller,The Stepford Wives ,5.2
331,Ridley Scott,Drama|History|War,Black Hawk Down ,7.7
332,Jay Roach,Comedy,The Campaign ,6.2
333,Luc Besson,Action|Adventure|Sci-Fi,The Fifth Element ,7.7
